component_id,lot_id,component_type,parameter,value_0h_uA,value_24h_uA,value_96h_uA,value_168h_uA,datasheet_limit_uA,ground_truth_class
C00001,L001,Type_A,leakage_current,9.891,10.084,10.824,11.466,50.0,Healthy
C00002,L002,Type_A,leakage_current,10.126,17.288,38.985,60.995,50.0,Obvious_Failure
C00003,L003,Type_A,leakage_current,10.091,10.346,11.172,11.578,50.0,Healthy
C00004,L004,Type_B,leakage_current,10.543,10.953,11.631,12.573,50.0,Healthy
C00005,L005,Type_C,leakage_current,9.915,10.02,10.864,11.584,50.0,Healthy
C00006,L006,Type_A,leakage_current,11.271,11.751,12.788,14.11,50.0,Healthy
C00007,L007,Type_A,leakage_current,9.887,10.038,10.686,11.319,50.0,Healthy
C00008,L008,Type_B,leakage_current,10.681,10.909,11.253,11.749,50.0,Healthy
C00009,L009,Type_C,leakage_current,9.934,10.271,10.791,11.614,50.0,Healthy
C00010,L010,Type_A,leakage_current,9.898,9.97,10.524,11.148,50.0,Healthy
C00011,L011,Type_B,leakage_current,9.805,9.902,10.479,10.661,50.0,Healthy
C00012,L012,Type_B,leakage_current,9.79,9.937,10.731,11.338,50.0,Healthy
C00013,L013,Type_A,leakage_current,10.115,10.273,10.607,11.033,50.0,Healthy
C00014,L014,Type_A,leakage_current,10.973,11.138,11.687,12.533,50.0,Healthy
C00015,L015,Type_B,leakage_current,11.34,11.27,11.619,12.292,50.0,Healthy
C00016,L016,Type_B,leakage_current,11.67,11.675,12.816,13.459,50.0,Healthy
C00017,L017,Type_A,leakage_current,10.754,14.145,31.993,50.032,50.0,Rapid_Drift
C00018,L018,Type_B,leakage_current,9.892,10.117,10.73,11.336,50.0,Healthy
C00019,L019,Type_A,leakage_current,11.066,11.292,11.562,12.223,50.0,Healthy
C00020,L020,Type_A,leakage_current,10.134,12.291,33.006,38.836,50.0,Latent_Defect
C00021,L021,Type_B,leakage_current,11.073,11.307,11.483,12.36,50.0,Healthy
C00022,L022,Type_B,leakage_current,10.821,10.85,11.522,12.149,50.0,Healthy
C00023,L023,Type_A,leakage_current,10.283,10.508,11.239,11.729,50.0,Healthy
C00024,L024,Type_A,leakage_current,10.039,10.124,10.777,11.431,50.0,Healthy
C00025,L025,Type_A,leakage_current,8.576,10.049,28.247,46.296,50.0,Latent_Defect
C00026,L026,Type_C,leakage_current,9.719,10.185,11.386,12.035,50.0,Healthy
C00027,L027,Type_A,leakage_current,11.369,11.791,12.644,13.476,50.0,Healthy
